#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
        6350.00          391.9551           68.9322           -2.0510            0.0000           66.8811
        6400.00          365.1734           64.2222           -3.7059            0.0000           60.5162
        6450.00          314.9075           55.3820           -3.4833            0.0000           51.8987
        6500.00          346.5423           60.9455           -1.7356            0.0000           59.2099
        6550.00          442.0389           77.7403           -3.2269            0.0000           74.5134
        6600.00          454.8877           80.0000           -3.6947            0.0000           76.3053
        6650.00          382.5712           67.2819           -0.7169            0.0000           66.5649
        6700.00          440.4729           77.4649           -3.6125            0.0000           73.8524
        6750.00          452.8904           79.6487           -1.6756            0.0000           77.9731
        6800.00          438.8589           77.1810           -1.5513            0.0000           75.6297
        6850.00          468.0232           82.3101           -2.6000            0.0000           79.7101
        6900.00          492.7867           86.6652           -3.2181            0.0000           83.4470
        6950.00          407.7902           71.7171           -2.5990            0.0000           69.1181
        7000.00          479.3726           84.3061           -2.4743            0.0000           81.8318
        7050.00          436.2619           76.7243           -2.1739            0.0000           74.5504
        7100.00          448.0803           78.8028           -2.3910            0.0000           76.4118
        7150.00          452.6139           79.6001           -3.4872            0.0000           76.1129
        7200.00          421.9081           74.1999           -3.2780            0.0000           70.9219
        7250.00          484.8348           85.2667           -2.4731            0.0000           82.7936
        7300.00          414.8759           72.9632           -2.2754            0.0000           70.6878
        7350.00          360.2991           63.3649           -2.8730            0.0000           60.4920
        7400.00          388.9949           68.4116           -2.9018            0.0000           65.5098
        7450.00          421.1038           74.0585           -1.9782            0.0000           72.0803
        7500.00          468.7923           82.4454           -2.8589            0.0000           79.5865
        7550.00          399.6557           70.2865           -2.2905            0.0000           67.9960
        7600.00          530.0297           93.2150           -2.3450            0.0000           90.8700
        7650.00          409.5207           72.0214           -4.0307            0.0000           67.9908
        7700.00          404.0090           71.0521           -3.4476            0.0000           67.6045
        7750.00          395.5166           69.5585           -2.6417            0.0000           66.9168
        7800.00          425.7840           74.8816           -2.6415            0.0000           72.2401
        7850.00          398.2378           70.0371           -1.9156            0.0000           68.1215
        7900.00          439.1442           77.2312           -3.2894            0.0000           73.9418
        7950.00          440.5137           77.4721           -2.4460            0.0000           75.0260
        8000.00          385.2231           67.7482           -1.9683            0.0000           65.7800
        8050.00          387.5992           68.1661           -3.0361            0.0000           65.1301
        8100.00          393.8503           69.2655           -2.3466            0.0000           66.9189
        8150.00          406.3527           71.4643           -2.8972            0.0000           68.5670
        8200.00          407.7281           71.7062           -2.1130            0.0000           69.5931
