@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
       17800.00          0.2170          0.4673 
       17850.00          0.2714          0.4692 
       17900.00          0.2014          0.4441 
       17950.00          0.2322          0.3910 
       18000.00          0.2069          0.3955 
       18050.00          0.1560          0.4453 
       18100.00          0.1763          0.4272 
       18150.00          0.1746          0.4218 
       18200.00          0.1461          0.4417 
       18250.00          0.1820          0.4281 
       18300.00          0.2002          0.4128 
       18350.00          0.1943          0.4210 
       18400.00          0.1844          0.4269 
       18450.00          0.1979          0.4114 
       18500.00          0.1493          0.4496 
       18550.00          0.1874          0.4286 
       18600.00          0.1688          0.4268 
       18650.00          0.1780          0.4280 
       18700.00          0.1650          0.4395 
       18750.00          0.1745          0.4300 
       18800.00          0.1957          0.4270 
       18850.00          0.1620          0.4426 
       18900.00          0.1923          0.4274 
       18950.00          0.2233          0.4096 
       19000.00          0.1735          0.4221 
       19050.00          0.2280          0.4061 
       19100.00          0.1813          0.4351 
       19150.00          0.1962          0.4204 
       19200.00          0.2087          0.4150 
       19250.00          0.1870          0.4246 
       19300.00          0.2083          0.4147 
       19350.00          0.1731          0.4276 
       19400.00          0.1510          0.4441 
       19450.00          0.1216          0.4588 
       19500.00          0.0493          0.4517 
       19550.00          0.1069          0.4199 
       19600.00          0.0929          0.4492 
       19650.00          0.0846          0.4351 
       19700.00          0.0690          0.4448 
       19750.00          0.1008          0.4229 
       19800.00          0.0595          0.4375 
       19850.00          0.0812          0.4721 
       19900.00          0.0908          0.4867 
       19950.00          0.1549          0.4316 
       20000.00          0.1834          0.4502 
       20050.00          0.1300          0.4835 
       20100.00          0.2174          0.4299 
       20150.00          0.2558          0.4265 
       20200.00          0.2168          0.4398 
       20250.00          0.2628          0.3760 
       20300.00          0.2156          0.4120 
       20350.00          0.2779          0.3766 
       20400.00          0.2785          0.3986 
       20450.00          0.2143          0.4704 
       20500.00          0.1945          0.4608 
       20550.00          0.2028          0.4193 
       20600.00          0.2334          0.4085 
       20650.00          0.2605          0.3978 
       20700.00          0.2698          0.4083 
       20750.00          0.2780          0.3908 
       20800.00          0.2456          0.4363 
       20850.00          0.2704          0.3971 
       20900.00          0.2758          0.4030 
       20950.00          0.2645          0.4105 
       21000.00          0.2685          0.3725 
       21050.00          0.3366          0.3310 
       21100.00          0.2228          0.3814 
       21150.00          0.2342          0.4235 
       21200.00          0.1351          0.4551 
       21250.00          0.1936          0.4080 
       21300.00          0.2166          0.3981 
       21350.00          0.2095          0.4025 
       21400.00          0.1749          0.4302 
       21450.00          0.1626          0.4218 
       21500.00          0.0806          0.4661 
       21550.00          0.0574          0.4566 
       21600.00          0.0865          0.4440 
       21650.00          0.0279          0.4617 
       21700.00          0.0541          0.4364 
       21750.00          0.0552          0.4471 
       21800.00          0.0763          0.4476 
       21850.00          0.0563          0.4358 
       21900.00          0.0595          0.4496 
       21950.00          0.0819          0.4320 
       22000.00          0.0675          0.4488 
       22050.00          0.0863          0.4466 
       22100.00          0.0604          0.4459 
       22150.00          0.0760          0.4382 
       22200.00          0.0687          0.4407 
       22250.00          0.0491          0.4405 
       22300.00          0.0804          0.4459 
       22350.00          0.0384          0.4348 
       22400.00          0.0698          0.4467 
       22450.00          0.0471          0.4400 
       22500.00          0.0654          0.4320 
       22550.00          0.1230          0.4214 
       22600.00          0.0656          0.4427 
       22650.00          0.0838          0.4519 
       22700.00          0.0477          0.4502 
       22750.00          0.0392          0.4539 
       22800.00          0.0277          0.4438 
       22850.00          0.0368          0.4461 
       22900.00          0.0606          0.4582 
       22950.00          0.0575          0.4421 
       23000.00          0.0752          0.4383 
       23050.00          0.0655          0.4408 
       23100.00          0.1194          0.4259 
       23150.00          0.1040          0.4360 
       23200.00          0.0571          0.4505 
       23250.00          0.0733          0.4412 
       23300.00          0.0996          0.4429 
       23350.00          0.0570          0.4492 
       23400.00          0.0859          0.4457 
       23450.00          0.0630          0.4442 
       23500.00          0.1041          0.4349 
       23550.00          0.0296          0.4468 
       23600.00          0.0345          0.4389 
