#          Step             alpha              3_10                pi              beta                SS             other             total
        6700.00                 3                 0                 0                 0                 0                 1                 4
        6750.00                 3                 0                 0                 1                 0                 0                 4
        6800.00                 3                 0                 0                 1                 0                 0                 4
        6850.00                 3                 0                 0                 1                 0                 0                 4
        6900.00                 3                 0                 0                 1                 0                 0                 4
        6950.00                 3                 0                 0                 1                 0                 0                 4
        7000.00                 3                 0                 0                 0                 0                 1                 4
        7050.00                 3                 0                 0                 0                 0                 1                 4
        7100.00                 5                 0                 0                 0                 0                 0                 5
        7150.00                 4                 0                 0                 1                 0                 0                 5
        7200.00                 4                 0                 0                 0                 0                 1                 5
        7250.00                 4                 0                 0                 1                 0                 0                 5
        7300.00                 5                 0                 0                 0                 0                 0                 5
        7350.00                 5                 0                 0                 0                 0                 0                 5
        7400.00                 5                 0                 0                 0                 0                 0                 5
        7450.00                 5                 0                 0                 0                 0                 0                 5
        7500.00                 4                 0                 0                 1                 0                 0                 5
        7550.00                 5                 0                 0                 0                 0                 0                 5
        7600.00                 4                 0                 0                 1                 0                 0                 5
        7650.00                 5                 0                 0                 0                 0                 0                 5
        7700.00                 4                 0                 0                 1                 0                 0                 5
        7750.00                 4                 0                 0                 1                 0                 0                 5
        7800.00                 5                 0                 0                 0                 0                 0                 5
        7850.00                 4                 0                 0                 0                 0                 1                 5
        7900.00                 5                 0                 0                 0                 0                 0                 5
        7950.00                 4                 0                 0                 0                 0                 1                 5
        8000.00                 4                 0                 0                 1                 0                 0                 5
        8050.00                 4                 0                 0                 0                 0                 1                 5
        8100.00                 5                 0                 0                 0                 0                 0                 5
        8150.00                 4                 0                 0                 0                 0                 1                 5
        8200.00                 4                 0                 0                 1                 0                 0                 5
        8250.00                 4                 0                 0                 1                 0                 0                 5
        8300.00                 4                 0                 0                 1                 0                 0                 5
        8350.00                 4                 0                 0                 0                 0                 1                 5
        8400.00                 5                 0                 0                 0                 0                 0                 5
        8450.00                 5                 0                 0                 0                 0                 0                 5
        8500.00                 4                 0                 0                 1                 0                 0                 5
        8550.00                 4                 0                 0                 0                 0                 1                 5
        8600.00                 4                 0                 0                 1                 0                 0                 5
        8650.00                 4                 0                 0                 0                 0                 1                 5
        8700.00                 4                 0                 0                 0                 0                 1                 5
        8750.00                 4                 0                 0                 1                 0                 0                 5
        8800.00                 4                 0                 0                 0                 0                 1                 5
        8850.00                 4                 0                 0                 0                 0                 0                 4
        8900.00                 4                 0                 0                 1                 0                 0                 5
        8950.00                 5                 0                 0                 0                 0                 0                 5
        9000.00                 4                 0                 0                 1                 0                 0                 5
        9050.00                 4                 0                 0                 1                 0                 0                 5
        9100.00                 4                 0                 0                 0                 0                 1                 5
        9150.00                 4                 0                 0                 1                 0                 0                 5
        9200.00                 3                 0                 0                 1                 0                 0                 4
        9250.00                 4                 0                 0                 0                 0                 1                 5
        9300.00                 4                 0                 0                 0                 0                 1                 5
        9350.00                 5                 0                 0                 0                 0                 0                 5
